RespondentID,CollectorID,StartDate,EndDate,SpidermanFarFromHome,HobbsAndShaw,LionKing2019,AnnabelleComeHome,ToyStory4,MetersDown47,Gender,Age
10976555523,245709500,2019-07-09T19:27:58Z,2019-07-09T19:29:13Z,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Man,55-64
10972842969,245715358,2019-05-09T21:24:36Z,2019-05-09T21:25:19Z,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,35-44
10972794947,245715358,2019-05-09T20:54:57Z,2019-05-09T20:55:50Z,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,Under 18
10972751462,245715358,2019-05-09T20:26:01Z,2019-05-09T20:28:24Z,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,35-44
10972471453,245715358,2019-05-09T17:30:30Z,2019-05-09T17:31:43Z,I Don't have an opinion,I Don't have an opinion,Decent Movie,Great Movie,Great Movie,Decent Movie,Man,25-34
10971873184,245715358,2019-05-09T13:00:03Z,2019-05-09T13:00:52Z,Not Good,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,25-34
10971861372,245715358,2019-05-09T12:53:28Z,2019-05-09T12:55:56Z,I didn't see it,I didn't see it,Great Movie,Decent Movie,I didn't see it,Decent Movie,Man,25-34
10971809011,245715358,2019-05-09T12:33:19Z,2019-05-09T12:34:25Z,Best Movie Ever!,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,45-54
10971398086,245709500,2019-05-09T09:57:38Z,2019-05-09T09:58:20Z,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,45-54
10971350360,245715358,2019-05-09T09:40:11Z,2019-05-09T09:40:41Z,Great Movie,I didn't see it,I didn't see it,I didn't see it,Decent Movie,I didn't see it,Man,18-24
10971347270,245715358,2019-05-09T09:38:49Z,2019-05-09T09:39:33Z,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,18-24
10971322807,245715358,2019-05-09T09:30:08Z,2019-05-09T09:30:50Z,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,65+
10971160987,245709500,2019-05-09T08:31:02Z,2019-05-09T08:31:52Z,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,18-24
10971157469,245709500,2019-05-09T08:29:44Z,2019-05-09T08:30:27Z,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,55-64
10971112419,245709500,2019-05-09T08:11:36Z,2019-05-09T08:12:32Z,I didn't see it,I didn't see it,Great Movie,I didn't see it,I didn't see it,I didn't see it,Woman,45-54
10971094944,245709500,2019-05-09T08:05:00Z,2019-05-09T08:05:40Z,Decent Movie,I didn't see it,Great Movie,I didn't see it,I didn't see it,I didn't see it,Woman,55-64
10971077610,245709500,2019-05-09T07:57:59Z,2019-05-09T07:58:41Z,Great Movie,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,35-44
10970920112,245715358,2019-05-09T06:42:04Z,2019-05-09T06:42:40Z,Great Movie,Great Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,35-44
10970285008,245709500,2019-04-09T23:11:45Z,2019-04-09T23:12:31Z,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Great Movie,I didn't see it,Man,45-54
10970192077,245709500,2019-04-09T22:07:14Z,2019-04-09T22:09:46Z,Decent Movie,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,Under 18
10970180147,245709500,2019-04-09T22:00:52Z,2019-04-09T22:01:59Z,Great Movie,Decent Movie,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Woman,45-54
